"Nro"|"Titulo"|"Descripcion"|"Precio"|"Localidad"|"Ambientes"|"Superficie"|"Telefono"|"Link"
"23"|"Departamento en Venta | Capital Federal | Villa Urquiza | Urquiza R | B Aizpurua al 2500 | Piso 2"|"Unidades de 2 amb de pozo. 10 unidades. Venta directa. Oportunidad inversión!"|" USD 72.033"|"Urquiza R - Villa Urquiza"|"1"|"38 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7467466--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=2&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"24"|"Departamento en Venta | Capital Federal | Boedo | Avenida Juan de Garay al 3700"|"Vendo departamento a estrenar dueño directo"|" "|"Boedo - Capital Federal"|"2"|"60 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7457587--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=2&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"25"|"Departamento en Venta | Capital Federal | Caballito | J Beauchef al 300 | Piso 1"|"DEPTO. EXCELENTE UBICACION C/COCHERA"|" USD 135.000"|"Caballito - Capital Federal"|"2"|"55 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7465572--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=2&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"26"|"Departamento en Venta | Capital Federal | Villa Devoto | Pje R De Ibarrola al 3100"|"DUEÑO DIRECTO VENDE Dto. 2 ambientes Villa Devoto"|" USD 85.000"|"Villa Devoto - Capital Federal"|"1"|"50 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7457179--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=2&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"27"|"Departamento en Venta | Capital Federal | Caballito | Caballito Sur | Av Directorio al 1200 | Piso 2"|"Dueño Directo. 2 coch cub, 3 amb + dep al frente"|" USD 235.000"|"Caballito Sur - Caballito"|"2"|"91 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7455366--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=2&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"28"|"Departamento en Venta | Capital Federal | Villa Urquiza | A Pacheco al 2800 | Piso 1"|"EXCLUSIVOS 2 AMB A ESTRENAR - CATEGORÍA  - VILLA URQUIZA."|" USD 100.000"|"Villa Urquiza - Capital Federal"|"No informa"|"No informa"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7442805--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=2&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"29"|"Departamento en Venta | Capital Federal | Villa Urquiza | Monroe al 4500 | Piso  "|"EXCELENTE !!! Expensas bajas!!! cochera para alquilar"|" USD 73.500"|"Villa Urquiza - Capital Federal"|"Monoambiente"|"35 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7377446--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=2&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"30"|"Departamento en Venta | Capital Federal | Villa Urquiza | Leon P Altolaguirre al 2200 | Piso 6"|"Excelente Dpto de 3 amb al frente con balcón"|" USD 125.000"|"Villa Urquiza - Capital Federal"|"2"|"61 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7463869--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=2&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"31"|"Departamento en Venta | Capital Federal | Villa Urquiza | Urquiza R | miller  al 3400 | Piso 3"|"departamento a estrenar en villa urquiza"|" $ 930.000"|"Urquiza R - Villa Urquiza"|"Monoambiente"|"30 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7468773--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=2&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"32"|"Departamento en Venta | Capital Federal | Villa Devoto | Pareja al 3800"|"2 Unidades de categoria- 3 ambientes A Estrenar - Amenities varias - Exclusiva zona de Villa Devoto"|" "|"Villa Devoto - Capital Federal"|"2"|"No informa"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7443643--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=2&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"33"|"Departamento en Venta | Capital Federal | Belgrano | Belgrano R | Blanco Encalada  al 2700"|"Dueño Vende / Edificio Blco Encalada / Belgrano/ usd2000m2"|" USD 2.000"|"Belgrano R - Belgrano"|"3"|"50 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7433763--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=2&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"34"|"Departamento en Venta | Capital Federal | San Telmo | Av. Juan De Garay al 800 | Piso 2"|"VENDO DPTO. POR ESCALERA, 2 DORM. 1 BAÑO, BALCON, EXC ESTADO LUMINOSO, SOBRE AVENIDA"|" USD 68.000"|"San Telmo - Capital Federal"|"2"|"No informa"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7400322--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=2&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"35"|"Departamento en Venta | Capital Federal | Boedo | Q Bocayuva al 1100 | Piso 4"|"Excelente y Luminoso Piso en Boedo"|" USD 130.000"|"Boedo - Capital Federal"|"2"|"78 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7468718--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=2&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"36"|"Departamento en Venta | Buenos Aires | Pdo. de Tres De Febrero | Santos Lugares | Rodriguez Peña al 2000 | Piso 7"|"R. Peña 2060/70 7°mo. y 6°to. Piso a estrenar.¡NUEVO!¡AHORA!¡OFERTA!¡SIN INTERMEDIARIOS!"|" USD 98.000"|"Santos Lugares - Buenos Aires"|"2"|"90 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7468614--Departamento-en-Venta-en-Pdo.-de-Tres-De-Febrero?sp.CurrentPage=2&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"37"|"Departamento en Venta | Capital Federal | Saavedra | Av Dr R Balbin al 4500 | Piso 13"|"Vendo departamento 3 ambientes"|" USD 104.000"|"Saavedra - Capital Federal"|"3"|"55 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7463268--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=2&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"38"|"Departamento en Venta | Capital Federal | Villa Urquiza | Dr P I Rivera al 4500"|"Monoambiente con Balcon Aterrazado en venta Villa Urquiza - Capital Federal"|" USD 75.000"|"Villa Urquiza - Capital Federal"|"Monoambiente"|"No informa"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7442819--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=2&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"39"|"Departamento en Venta | Capital Federal | Villa Urquiza | D Cullen al 4800"|"DUEÑO VENDE DEPTO 3 AMB AL FRENTE C/ COCHERA Y BAULERA. SIN COMISION!!"|" USD 195.000"|"Villa Urquiza - Capital Federal"|"2"|"73 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7442437--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=2&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"40"|"Departamento en Venta | Capital Federal | Belgrano | Las Cañitas | Teodoro Garcia al 1700 | Piso 1º"|"Departamento de 3 Ambientes con Dependencia en Belgrano"|" USD 130.000"|"Las Cañitas - Belgrano"|"2"|"65 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7457821--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=2&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"41"|"Departamento en Venta | Capital Federal | Barrio Norte | Recoleta | Pres Jose E Uriburu al 1500"|"Excelente departamento de dos ambientes/Muy luminoso/Baño y cocina a nuevos/Apto profesional"|" USD 118.000"|"Recoleta - Barrio Norte"|"1"|"No informa"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7461753--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=2&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"42"|"Departamento en Venta | Capital Federal | Palermo | Palermo Viejo | J Alvarez al 1400 | Piso 20"|"***Oportunidad**** Excelente departamento de 3 ambientes con vista al rio"|" USD 125.000"|"Palermo Viejo - Palermo"|"2"|"58 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7461660--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=3&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"43"|"Departamento en Venta | Capital Federal | Belgrano | Belgrano Chico | Echeverría  al 1300"|"OPORTUNIDAD! DPTO. 3 AMB. EN VENTA CON RENTA, ZONA RESIDENCIAL BELGRANO."|" USD 385.000"|"Belgrano Chico - Belgrano"|"2"|"109 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7446901--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=3&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"44"|"Departamento en Venta | Capital Federal | Av Directorio al 2500 | Piso 1"|"DUEÑO VENDE Monoambiente A ESTRENAR!"|" USD 78.800"|"Capital Federal - Capital Federal"|"Monoambiente"|"35 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7444545--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=3&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"45"|"Departamento en Venta | Buenos Aires | Pdo. de Quilmes | Quilmes | Alvear al 800 | Piso 8"|"QUILMES CENTRO - DUEÑO DIRECTO (Sin Comision). 3 AMB., COCHERA, 2 bauleras, SUM.-Excelente"|" USD 155.000"|"Quilmes - Buenos Aires"|"2"|"78 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7393051--Departamento-en-Venta-en-Pdo.-de-Quilmes?sp.CurrentPage=3&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"46"|"Departamento en Venta | Capital Federal | Balvanera | Av Corrientes al 2000 | Piso 9"|"En el corazón de la ciudad 3 ambientes amplios: 80m2 Centro - B.N"|" USD 157.000"|"Balvanera - Capital Federal"|"2"|"74 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7441767--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=3&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"47"|"Departamento en Venta | Capital Federal | Centro | Tribunales | Montevideo al 300 | Piso 5"|"EXCELENTE DEPTO 2 AMB 5º FTE APTO PROFESIONAL MONTEVIDEO Y AV CORRIENTES"|" USD 82.500"|"Tribunales - Centro"|"1"|"40 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7455609--Departamento-de-2-Ambientes-en-Venta-en-Capital-Federal?sp.CurrentPage=3&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"48"|"Departamento en Venta | Capital Federal | Belgrano | F. D. Roosevelt al 1900"|"EXCELENTE"|" USD 140.000"|"Belgrano - Capital Federal"|"2"|"53 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7464108--Departamento-de-3-Ambientes-en-Venta-en-Capital-Federal?sp.CurrentPage=3&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"49"|"Departamento en Venta | Capital Federal | Belgrano | Av Dr R Balbin al 2300 | Piso 9"|"A nuevo, todo luz y sol con Expensas Bajas!!!"|" USD 95.000"|"Belgrano - Capital Federal"|"1"|"41 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7433782--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=3&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"50"|"Departamento en Venta | Capital Federal | Palermo | Sin Calle"|"PALERMO PISO 4 AMB IMPECABLE"|" "|"Palermo - Capital Federal"|"3"|"95 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7455153--Departamento-de-4-Ambientes-en-Venta-en-Capital-Federal?sp.CurrentPage=3&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"51"|"Departamento en Venta | Capital Federal | Villa Urquiza | Sin Calle"|"CONSTRUCTORA VENDE SIN COMISION EXCELENTE INVERSION DISTINTOS BARRIOS"|" "|"Villa Urquiza - Capital Federal"|"Monoambiente"|"0 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7455150--Departamento-de-1-Ambiente-en-Venta-en-Capital-Federal?sp.CurrentPage=3&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"52"|"Departamento en Venta | Capital Federal | Once | Sin Calle"|"ONCE 3 amb"|" "|"Once - Capital Federal"|"Monoambiente"|"0 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7463261--Departamento-de-3-Ambientes-en-Venta-en-Capital-Federal?sp.CurrentPage=3&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"53"|"Departamento en Venta | Capital Federal | Villa Pueyrredon | Sin Calle"|"V.PUEYRREDON 2AMB C/BCON Y TZA PPIA"|" "|"Villa Pueyrredon - Capital Federal"|"1"|"0 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7469845--Departamento-de-2-Ambientes-en-Venta-en-Capital-Federal?sp.CurrentPage=3&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"54"|"Departamento en Venta | Capital Federal | Flores | Av Alberdi al 1600 | Piso 3"|"3 ambientes con 2 balcones y 2 baños en 3er piso a la calle. Muy luminoso, amplia cocina. Amenities."|" USD 215.000"|"Flores - Capital Federal"|"2"|"80 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7431854--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=3&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"55"|"Departamento en Venta | Buenos Aires | Pdo. de General Pueyrredon | Mar Del Plata | Playa Grande | Bernardo de Irigoyen al 3500 | Piso 5"|"Dueño vende depto Mar del Plata, Playa Grande, dos dormitorios y dep de servicio, con cochera"|" USD 162.000"|"Playa Grande - Mar Del Plata"|"2"|"81 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7463994--Departamento-en-Venta-en-Pdo.-de-General-Pueyrredon?sp.CurrentPage=3&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"56"|"Departamento en Venta | Capital Federal | Coghlan | Dr P I Rivera 4cto piso "|"Departamento de 2 amb Dueño Directo de 62 mtrs amplio y muy luminoso"|" USD 150.000"|"Coghlan - Capital Federal"|"1"|"62 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7447901--Departamento-de-2-Ambientes-en-Venta-en-Capital-Federal?sp.CurrentPage=3&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"57"|"Departamento en Venta | Capital Federal | Once | Dr J Jose Paso al 200 | Piso 7"|"DUEÑO DIRECTO VENDE EXCELENTE 3 AMBIENTES CON DEPENDENCIA MUY LUMINOSO AL FRENTE"|" USD 160.000"|"Once - Capital Federal"|"2"|"76 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7447070--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=3&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"58"|"Departamento en Venta | Capital Federal | Flores | Flores Norte | Manuel R Trelles al 1000 | Piso 7"|"Dueño directo.Depto 69.25m2. 25m2 de terraza Este.Ultra luminoso.A 1 cuadra de plaza Irlanda."|" USD 90.000"|"Flores Norte - Flores"|"1"|"40,72 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7458213--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=3&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"59"|"Departamento en Venta | Capital Federal | Nuñez | Av. Del Libertador  al 8500"|"JARDINES DEL LIBERTADOR  ""EXCELENTE, IMPECABLE"""|" USD 285.000"|"Nuñez - Capital Federal"|"2"|"80 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7444401--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=3&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
"60"|"Departamento en Venta | Capital Federal | Belgrano | Monroe al 1900"|"Vendo dos ambientes en excelente estado"|" USD 137.000"|"Belgrano - Capital Federal"|"1"|"50 m²"|"No informa"|"http://www.inmuebles.clarin.com/Propiedades/Detalles/7439475--Departamento-en-Venta-en-Capital-Federal?sp.CurrentPage=3&sp.af_800=800&sp.af_816=816&sp.af_100000001=100000001&sp.af_1015=1015"
